target,XID
99,R2906507
333,N964688408
320,Q4379291
334,W130733596
316,Q4110247
17,Q88379274
341,N3658286110
35,N262652256
41,W151905929
22,Q84172585
38,N1808680328
318,Q4538913
150,N533609312
191,W163195444
189,R7209239
188,R5587112
187,W173146726
186,W131632312
185,N1923952002
184,W131632302
183,R5606302
182,R7140571
181,W129207551
179,Q50359307
178,Q28381390
177,Q4504106
176,Q4411412
119,N964623543
140,N763386009
193,W146322037
203,N3880871297
221,N1412650394
288,W123291538
357,Q30913943
211,U6301
37,W149417079
359,Q4361245
281,W48274072
16,Q96240614
299,W92405434
200,Q4113284
291,W462014550
214,U6744
208,Q18331756
219,U7293
234,N1947521913
278,W92405439
229,W130740964
206,N1888417126
210,U4152
301,W183940992
292,W140038051
209,U4133
279,W101704727
212,U6303
207,Q4113251
285,W45013536
96,W147129127
286,W95564000
222,N6514072286
231,N6089565000
289,W95943760
204,R2322452
340,W837349639
308,W44896201
290,W44898055
294,W82251166
31,R2969244
224,N5404094893
260,N3663765701
2,W43554808
83,R9649962
199,Q838264
217,U6956
313,W87498821
295,N4997897721
277,W45013546
196,Q240549
287,N1361341279
223,N1991927689
220,U7573
30,R2323262
218,U7274
241,N2076499942
69,W108727791
102,R4238217
230,N2470904637
276,W617228287
197,Q4113277
317,Q4151348
84,N4320825061
205,N3842308198
228,R5482895
216,U6903
296,W44899213
201,Q19916149
275,W44896191
280,W173960067
297,W136184765
215,U6902
213,U6674
293,W44899216
227,N3814558074
101,W152110796
194,R5471545
343,N552713465
366,Q97161882
12,Q4165515
300,W271115386
360,W77730252
95,R2302969
74,W28501972
337,N7931969085
365,Q2494278
314,Q19908952
342,R2036118
195,N1905368022
39,W164712659
265,N3842308204
110,N5755762950
346,N965847355
339,W96530735
104,R13028362
304,N4618248825
72,R2059374
73,R2906509
79,R3022763
20,Q84767074
82,R2906510
42,R2906505
29,Q97999957
40,R2174006
98,W159088287
264,N3833187861
103,N6629818520
335,W95943763
32,W151905901
348,R6279026
88,R2013332
67,N2295063253
105,W59804414
108,W166552564
347,W84997561
36,W918325991
226,N1794469857
361,N1050096042
109,W922392676
284,W834800265
75,W152696709
225,N5236023127
86,R5393060
78,W151548233
77,R1992689
338,W44899210
344,W240658074
319,Q4343495
315,Q1189431
350,W222984781
114,W313780001
152,N474946827
161,Q4477566
162,Q27890562
134,N694080110
192,W129295802
121,W52170650
122,N6962835349
158,Q107585439
163,Q97591769
123,W18077882
133,W127712171
135,W47807305
172,Q56210596
173,Q108196461
115,W587989335
116,R152269
154,W59804593
160,Q4476791
164,Q1851014
138,N5402950542
170,Q27890571
171,Q55413263
266,N2423762708
239,N2041833437
237,N3807490548
270,N1766460261
21,Q84340772
271,N3807490550
302,W187948282
235,N3817669434
240,N3786642037
236,N1012304895
298,N1234995463
267,N3789421242
274,W239408057
232,N5370927217
19,Q86683423
129,N3002726100
145,W922392677
124,N454056918
180,Q55210808
146,N898963079
127,N192224751
128,N504394251
64,W219812603
202,Q21639718
62,R2323263
18,Q86684971
144,R3784162
120,W62228491
245,N2092144362
246,N1792890919
247,N1749443739
248,N3787578355
249,N3809171189
250,N4076959103
251,N2050123028
252,N4440238992
253,N3891350370
254,N3788208162
255,N3788208161
256,N1792867051
5,N181286204
100,R2906504
24,Q83495700
89,W35979423
85,N6765906237
15,Q96337173
59,R2990812
233,W196837615
269,N1766460251
34,R2906500
97,W148138980
87,W147129128
307,W150447107
23,Q83560635
60,R546053
0,N6511782886
54,R2906501
46,W147551305
25,Q78114479
48,R2767108
27,Q16715547
56,W151302806
43,R2906495
57,N585136663
28,Q3860437
14,Q96591455
8,N3002726097
49,R2906497
58,W151548188
66,W152110807
26,Q77756790
70,N1056966401
65,W151905928
51,W152110787
50,W170361331
13,Q97163612
7,N2475691784
6,W55235295
71,N5141071785
45,R555801
68,R3368610
94,W159080177
53,W147599580
61,W151905925
63,W52464978
33,W85787924
52,R2906496
10,N2885181131
9,N1930476141
11,W38411380
55,R2888456
93,R2906508
263,N3796718136
310,W150378447
321,Q13668162
345,W114127277
330,Q4538877
363,N4928995381
257,N1436958331
303,W44900364
336,W72225050
351,Q4157550
329,Q4204534
354,Q4320775
328,Q4146509
367,Q4091101
4,W35090291
262,N569740253
368,U3739
323,Q56312986
332,N3691243291
273,W125448768
326,Q4538931
353,Q28058985
81,N2295063219
325,Q4525185
272,N552713468
3,W46993188
362,N552713450
312,N552713459
305,W107535735
306,W92405450
327,Q4085572
76,W147551273
259,N4499063760
364,N966584280
283,W45013537
322,Q25394333
258,N1435900427
282,W76701664
107,N1779665538
91,R2343568
358,Q19909049
125,N454103127
117,N3002726091
143,N2587522630
148,N459436046
168,Q19615085
156,W34939465
159,Q4174314
118,W128158539
132,N6408389385
174,Q108406301
151,N474949599
165,Q1938341
169,Q27888113
141,N802262331
147,W150512875
153,W52170640
166,Q4365466
175,Q4240385
47,R4864923
111,N457304363
268,N1766460255
369,U3885
349,W45846077
106,W948556954
324,Q4165529
370,U4106
355,Q25389078
44,R2917119
198,Q19906501
92,R4356826
311,N7932069485
261,N4225763986
112,W50837336
356,Q4538885
238,N3681323129
331,Q60851633
309,W101935938
149,R3464822
136,N2324423104
137,W69841318
155,W38753316
131,N3002726092
167,Q4477575
139,N415531606
126,N474950570
157,W759609793
352,Q28056804
1,W46866652
90,N5141071786
80,R2917120
113,W947205778
130,N210073292
190,R5587113
142,W64238516
242,N3807490551
243,N3126700595
244,N3809171188
